Business Name,Industry,Category,City,Country,Website,Email,Email Confidence,WhatsApp,WhatsApp Confidence,Phone,Address,Social URL,Lead Score,Source,Source URL,Discovered At
Lahore Restaurant,restaurant,restaurant,Lahore,Pakistan,https://www.lahorerestaurantbcn.com,john@doe.com,85,+34661456430,85,+34933825484,,https://www.facebook.com/LHRRSTNT,90,Web Search,https://www.lahorerestaurantbcn.com,2026-09-10T18:53:35.238Z
Contact Al Khan Restaurant | Reservations & Enquiries,restaurant,restaurant,Lahore,Pakistan,https://alkhan.com.pk,info@alkhangroup.org,85,,,+923481118811,,https://www.instagram.com/alkhanpk/?hl=en,75,Web Search,https://alkhan.com.pk,2026-09-10T18:53:00.434Z
Restaurants & Dining,restaurant,restaurant,Lahore,Pakistan,https://www.pchotels.com,hotelone.gt@hotelone.com.pk,85,+92514443334,60,,,https://www.facebook.com/pearl.continental.hotels,70,Web Search,https://www.pchotels.com/contact-us,2026-09-10T18:53:33.935Z
Contact Us,restaurant,restaurant,Lahore,Pakistan,http://www.shezanrestaurants.com,info@shezanresturants.com,85,,,+9242965257585,,,70,Web Search,http://www.shezanrestaurants.com,2026-09-10T18:52:57.674Z
Contact,restaurant,restaurant,Lahore,Pakistan,https://www.haveli.com.pk,info@haveli.com.pk,85,,,+923008414899,,,70,Web Search,https://www.haveli.com.pk,2026-09-10T18:52:56.428Z
Contact UAE.dentist — Get matched with a dentist,dentist,dentist,,United Arab Emirates,https://uae.dentist,hello@uae.dentist,85,,,+971917010650063,,,65,Web Search,https://uae.dentist,2026-09-10T19:01:08.868Z
Contact Smile USA Middle East,dentist,dentist,,United Arab Emirates,https://www.smileusa.com,courses@smileusa.com,85,,,+971503235913,,,65,Web Search,https://www.smileusa.com,2026-09-10T19:00:23.247Z
Contact AMDC,dentist,dentist,,United Arab Emirates,https://americanmdcenter.com,info@americanmdcenter.com,85,,,+971529850963,,,65,Web Search,https://americanmdcenter.com,2026-09-10T19:00:20.549Z
Contact Us,dentist,dentist,,United Arab Emirates,https://dentexp.com,info@dentexp.com,85,,,+97126810060,,,65,Web Search,https://dentexp.com,2026-09-10T19:00:09.219Z
Software Development Company Karachi- Pakistan,software company,software company,Karachi,Pakistan,https://zaavia.net,info@zaavia.net,85,,,+923347262232,,,65,Web Search,https://zaavia.net,2026-09-10T18:57:59.660Z
